MovieID,Name,Date_Added,Release_Year,Rating,Duration(minutes),Description
132,Kyaa Super Kool Hain Hum,"August 27, 2021",2012,TV-MA,136,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.
133,Kyo Kii... Main Jhuth Nahin Bolta,"August 27, 2021",2001,TV-14,150,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.
134,"LSD: Love, Sex Aur Dhokha","August 27, 2021",2010,TV-MA,112,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.
135,Mission Istaanbul: Darr Ke Aagey Jeet Hai,"August 27, 2021",2008,TV-14,119,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.
136,Once Upon a Time in Mumbaai,"August 27, 2021",2010,TV-14,133,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
137,Once Upon a Time in Mumbai Dobaara!,"August 27, 2021",2013,TV-14,142,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
138,Ragini MMS,"August 27, 2021",2011,TV-MA,93,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
139,Ragini MMS 2,"August 27, 2021",2014,TV-MA,113,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
140,SAS: Rise of the Black Swan,"August 27, 2021",2021,R,124,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train."
141,Shootout at Lokhandwala,"August 27, 2021",2007,TV-MA,116,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
142,Shor In the City,"August 27, 2021",2011,TV-14,106,"When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger."
143,The Dirty Picture,"August 27, 2021",2011,TV-14,145,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol."
144,"Bob Ross: Happy Accidents, Betrayal & Greed","August 25, 2021",2021,TV-14,93,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
145,Really Love,"August 25, 2021",2020,TV-MA,95,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.
146,The November Man,"August 25, 2021",2014,R,108,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies."
147,The Old Ways,"August 25, 2021",2020,TV-MA,90,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed."
148,The River Runner,"August 25, 2021",2021,TV-MA,86,"In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash."
149,The Water Man,"August 25, 2021",2021,PG,92,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
150,Count Me In,"August 24, 2021",2021,TV-MA,82,This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.
151,Untold: Caitlyn Jenner,"August 24, 2021",2021,TV-PG,70,Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.
152,Boomika,"August 23, 2021",2021,TV-14,122,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
